name,cat,,,,,
Department of Geography,4,,,,,
Museum of Vertebrate Zoology,3,,,,,
College of Natural Resources,4,,,,,
Molecular Toxicology Group,3,,,,,
School of Optometry,3,,,,,
Safe Transportation Research and Education Center,4,,,,,
Phylogenomics,3,,,,,
School of Public Policy,4,,,,,
Department of Bioengineering,2,,,,,
Center for Integrative Planetary Science,1,,,,,
Department of Integrative Biology,3,,,,,
School of Social Welfare,4,,,,,
Department of Industrial Engineering and Operations Research,2,,,,,
Institute of Human Development,4,,,,,
Center for New Directions in Organic Synthesis,1,,,,,
Department of Plant and Microbial Biology,3,,,,,
Berkeley UCSF Bioengineering,2,,,,,
Department of Intercollegiate Athletics,4,,,,,
Howard Hughes Medical Institute,6,,,,,
School of Public Health,6,,,,,
Department of Earth and Planetary Science,1,,,,,
Synthetic Biology Engineering Research Center,2,,,,,
Department of Mechanical Engineering,2,,,,,
Ergonomics Program,2,,,,,
Biomolecular Nanotechnology Center,3,,,,,
Haas School of Business,4,,,,,
Berkeley UCSF Joint Medical Program,6,,,,,
Berkeley Atmospheric Science Center,1,,,,,
Biophysics,3,,,,,
Energy Biosciences Institute,2,,,,,
Department of Chemistry,1,,,,,
Berkeley Seismological Laboratory,1,,,,,
Department of Nutritional Science and Toxicology,6,,,,,
Vision Science,3,,,,,
"Bixby Center for Population, Health and Sustainability",4,,,,,
Berkeley Sensor and Actuator Center,1,,,,,
Department of Psychology,4,,,,,
Museum of Paleontology,3,,,,,
Lawrence Berkeley National Laboratory,1,,,,,
Department of Demography,4,,,,,
Department of Sociology,4,,,,,
Center for Occupational and Environmental Health,4,,,,,
Cancer Research Laboratory,6,,,,,
Center for Theoretical Evolutionary Genomics,3,,,,,
Program in Infectious Diseases and Immunity,6,,,,,
Jepson Herbarium,3,,,,,
Department of Materials Science and Engineering,2,,,,,
"Department of Environmental Science, Policy and Management",1,,,,,
Center for Stable Isotope Biogeochemistry,1,,,,,
QB3,3,,,,,
Center of Integrated Nanomechanical Systems,2,,,,,
Department of Chemical and Biomolecular Engineering,2,,,,,
Institute of Personality and Social Research,4,,,,,
Department of Statistics,5,,,,,
University Health Services,6,,,,,
Department of Electrical Engineering and Computer Sciences,2,,,,,
Department of Biostatistics,5,,,,,
Department of Astronomy,1,,,,,
Plant Gene Expression Center,3,,,,,
Helen Wills Neuroscience Institute,3,,,,,
Center for Integrative Genomics,3,,,,,
Human Evolution Research Center,3,,,,,
School of Law,4,,,,,
Endocrinology,6,,,,,
Department of Mathematics,5,,,,,
Department of Physics,1,,,,,
Redwood Center for Theoretical Neuroscience,5,,,,,
Department of Molecular and Cell Biology,3,,,,,
Miller Research Institute,1,,,,,
Pitzer Center for Theoretical Chemistry,1,,,,,
International Computer Science Institute,5,,,,,
Department of Anthropology,4,,,,,
Center for Theoretical Physics,1,,,,,
Kavli Energy NanoSciences Institute,2,,,,,
Department of Civil and Environmental Engineering,2,,,,,
Institute of Cognitive and Brain Sciences,4,,,,,
,,,,,,
